earthquakeID,earthquakeTime,earthquakeDay,earthquakeLatitude,earthquakeLongitude,earthquakeMagnitude,City,cityLatitude,cityLongitude,Country,cityPopulation,cityDistance,stationDode,stationName,stationLatitude,stationLongitude,stationDistance,Wave
us10007p7m,13:14:02,02/01/2017,-23.2513,179.2383,6.3,Suva,-18.133,178.4417,Fiji,175399,357.3483416,RAO,Raoul,-29.245,-177.929,449.7154321,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2017-01-02T00:00:00&endtime=2017-01-03T00:00:00&output=plot
us10007pj6,21:52:30,03/01/2017,-19.3733,176.0518,6.9,Nandi,-17.7996,177.4166,Fiji,42284,140.7441192,FUNA,Funafuti,-8.5259,179.1966,778.4452721,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=FUNA&loc=00&cha=BHZ&starttime=2017-01-03T00:00:00&endtime=2017-01-04T00:00:00&output=plot
us10007pjt,22:40:12,03/01/2017,-19.1207,176.1875,6,Nandi,-17.7996,177.4166,Fiji,42284,121.7325578,FUNA,Funafuti,-8.5259,179.1966,759.2317692,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=FUNA&loc=00&cha=BHZ&starttime=2017-01-03T00:00:00&endtime=2017-01-04T00:00:00&output=plot
us10007s20,23:47:14,08/01/2017,74.3859,-92.4156,6,Resolute,74.6833,-94.9,Canada,250,50.16641024,SFJD,Sondre Stromfjord,66.9961,-50.62076,1051.498327,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=SFJD&loc=00&cha=BHZ&starttime=2017-01-08T00:00:00&endtime=2017-01-09T00:00:00&output=plot
us10007s9c,06:13:48,10/01/2017,4.4782,122.6171,7.3,Jolo,6.0522,121.0022,Philippines,,155.4639954,DAV,Davao,7.0697,125.5791,271.119699,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=DAV&loc=00&cha=BHZ&starttime=2017-01-10T00:00:00&endtime=2017-01-11T00:00:00&output=plot
us10007sd4,15:27:14,10/01/2017,-10.1132,161.0271,6.3,Kirakira,-10.4544,161.9205,Solomon Islands,,65.14787174,HNR,Honiara,-9.4387,159.9475,87.03333039,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=HNR&loc=00&cha=BHZ&starttime=2017-01-10T00:00:00&endtime=2017-01-11T00:00:00&output=plot
us10007u7n,23:04:21,19/01/2017,-10.3506,161.3355,6.5,Kirakira,-10.4544,161.9205,Solomon Islands,,40.39501532,HNR,Honiara,-9.4387,159.9475,113.5511094,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=HNR&loc=00&cha=BHZ&starttime=2017-01-19T00:00:00&endtime=2017-01-20T00:00:00&output=plot
us10007uph,04:30:22,22/01/2017,-6.2464,155.1718,7.9,Arawa,-6.228,155.566,Papua New Guinea,40266,27.10389101,HNR,Honiara,-9.4387,159.9475,394.2798631,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=HNR&loc=00&cha=BHZ&starttime=2017-01-22T00:00:00&endtime=2017-01-23T00:00:00&output=plot
us100086x7,02:58:20,04/03/2017,-7.3277,155.748,6.1,Taro,-6.7111,156.3972,Solomon Islands,,61.61641983,HNR,Honiara,-9.4387,159.9475,321.9550824,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=HNR&loc=00&cha=BHZ&starttime=2017-03-04T00:00:00&endtime=2017-03-05T00:00:00&output=plot
us1000876f,22:47:53,05/03/2017,-5.9945,149.3619,6.3,Kimbe,-5.55,150.143,Papua New Guinea,18847,61.85476003,PMG,Port Moresby,-9.4047,147.1597,279.7129886,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=PMG&loc=00&cha=BHZ&starttime=2017-03-05T00:00:00&endtime=2017-03-06T00:00:00&output=plot
us100088sf,02:51:16,14/03/2017,6.1457,92.3044,6,Banda Aceh,5.55,95.32,Indonesia,513698,211.3091823,CHTO,Chiang Mai,18.8141,98.9443,982.7282376,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=CHTO&loc=00&cha=BHZ&starttime=2017-03-14T00:00:00&endtime=2017-03-15T00:00:00&output=plot
us10008e3k,17:40:18,03/04/2017,-22.6784,25.1558,6.5,Serowe,-22.39,26.71,Botswana,48573,101.1624736,TSUM,Tsumeb,-19.2022,17.5838,544.297039,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TSUM&loc=00&cha=BHZ&starttime=2017-04-03T00:00:00&endtime=2017-04-04T00:00:00&output=plot
us10008ei0,06:09:12,05/04/2017,35.7755,60.4363,6.1,Torbat-e Jam,35.2233,60.6129,Iran,104578,39.42341978,KBL,Kabul,34.5408,69.0432,493.420823,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=KBL&loc=00&cha=BHZ&starttime=2017-04-05T00:00:00&endtime=2017-04-06T00:00:00&output=plot
us10008hu2,08:19:43,15/04/2017,-23.2653,-67.7225,6.3,Toconao,-23.1829,-68.0166,Chile,378,19.52144265,LVC,Limon Verde,-22.6127,-68.9111,88.04631794,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=LVC&loc=00&cha=BHZ&starttime=2017-04-15T00:00:00&endtime=2017-04-16T00:00:00&output=plot
us10008iph,17:11:47,18/04/2017,-18.0877,-178.369,6,Labasa,-16.4166,179.3833,Fiji,24187,187.9435836,AFI,Afiamalu,-13.9093,-171.7773,524.2805965,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=AFI&loc=00&cha=BHZ&starttime=2017-04-18T00:00:00&endtime=2017-04-19T00:00:00&output=plot
us10008jvr,02:36:07,23/04/2017,-33.0354,-72.0296,6,Valparaiso,-33.0478,-71.621,Chile,854000,23.680134,LCO,Las Campanas Astronomical Observatory,-29.011,-70.7005,288.9577362,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=LCO&loc=00&cha=BHZ&starttime=2017-04-23T00:00:00&endtime=2017-04-24T00:00:00&output=plot
us10008kce,21:38:30,24/04/2017,-33.0375,-72.0617,6.9,Valparaiso,-33.0478,-71.621,Chile,854000,25.53335897,LCO,Las Campanas Astronomical Observatory,-29.011,-70.7005,289.6197358,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=LCO&loc=00&cha=BHZ&starttime=2017-04-24T00:00:00&endtime=2017-04-25T00:00:00&output=plot
us10008ls4,20:23:17,28/04/2017,5.5043,125.0658,6.9,General Santos,6.1108,125.1747,Philippines,950530,42.56638891,DAV,Davao,7.0697,125.5791,113.7528105,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=DAV&loc=00&cha=BHZ&starttime=2017-04-28T00:00:00&endtime=2017-04-29T00:00:00&output=plot
us10008mel,12:31:55,01/05/2017,59.8209,-136.7114,6.2,Whitehorse,60.7167,-135.05,Canada,23276,84.08452072,COL,College Outpost Alaska,64.9,-147.7933,498.0035947,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=COL&loc=00&cha=BHZ&starttime=2017-05-01T00:00:00&endtime=2017-05-02T00:00:00&output=plot
us10008mgu,14:18:15,01/05/2017,59.8295,-136.7042,6.3,Whitehorse,60.7167,-135.05,Canada,23276,83.47552091,COL,College Outpost Alaska,64.9,-147.7933,497.7147597,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=COL&loc=00&cha=BHZ&starttime=2017-05-01T00:00:00&endtime=2017-05-02T00:00:00&output=plot
us10008npq,04:47:13,03/05/2017,39.4939,71.4438,6,Batken,40.0626,70.8194,Kyrgyzstan,,51.40993156,KBL,Kabul,34.5408,69.0432,366.8985166,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=KBL&loc=00&cha=BHZ&starttime=2017-05-03T00:00:00&endtime=2017-05-04T00:00:00&output=plot
us10008qhu,17:00:47,08/05/2017,51.7344,-178.5875,6.2,Pakhachi,60.5816,169.05,Russia,10,771.9020857,ADK,Adak Aleutian Islands Alaska,51.8823,-176.6842,81.94220932,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=ADK&loc=00&cha=BHZ&starttime=2017-05-08T00:00:00&endtime=2017-05-09T00:00:00&output=plot
